,business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
0,tCbdrRPZA0oiIYSmHG3J0w,Flying Elephants at PDX,Portland,OR,97218,45.5889058992,-122.5933307507,4.0,126,1,"Salad, Soup, Sandwiches, Delis, Restaurants, Cafes, Vegetarian"
1,jx91IMdGOmLOo8h_F9z39g,Cleary's Restaurant & Spirits,Portland,OR,97230,45.5264727,-122.535323,3.5,19,1,"Nightlife, Sandwiches, Seafood, Restaurants"
2,5PsApTz-WqhF_-8mfqGtGw,Cafe Yumm!,Portland,OR,97204,45.5184501881,-122.6757229865,3.5,158,1,"Vegetarian, Vegan, Sandwiches, Soup, American (New), Fast Food, Restaurants, Wraps, American (Traditional)"
3,Npm0cjoyWwyV13OULL9qOA,Nana's Ice Cream Scoop Shop,Portland,OR,97211,45.5609209,-122.6624474,4.0,5,1,"Food, Ice Cream & Frozen Yogurt"
4,HMXiuCxHDXqMH1hBpaHd9g,Whole Time Chicken,Portland,OR,97215,45.5162412,-122.5975269,5.0,7,0,"Food Stands, Restaurants, Sandwiches"
5,ZA3u0Nu5V6TqkcYh8U0zdg,B Street Coffee House,Portland,OR,97210,45.5230736,-122.6962064,4.5,131,0,"Restaurants, Food, Sandwiches, Breakfast & Brunch, Gluten-Free, Coffee & Tea, Bagels"
6,CBkF_Ub_nxOhOEN3Zbo_RQ,Plaid Pantry,Portland,OR,97217,45.5624304,-122.687739,4.0,10,1,"Convenience Stores, Food"
7,aTAe3uMYBEwU0FbTMFEI5g,Urban Pantry,Portland,OR,97209,45.5299395,-122.6829322,3.5,26,1,"Do-It-Yourself Food, Restaurants, American (Traditional), Active Life, Grocery, Food, Local Flavor, Specialty Food, Kids Activities, Cafes, Delis"
8,52f_ztOVodIoV43Qt-R4rA,Taqueria So Mexican,Portland,OR,97230,45.5131986231,-122.6763805441,4.0,28,0,"Restaurants, Mexican, Food Trucks, Food, Food Stands"
9,BGLqNLxH8p3dEoiLVLRq1A,Fukami Sushiya,Portland,OR,97215,45.516382,-122.618593,4.0,17,0,"Sushi Bars, Restaurants"
10,r_sOAVfNPaXrpjznZpuxeg,Papi Chulo's,Portland,OR,97209,45.5274187,-122.6844472,4.0,180,1,"Mexican, Restaurants, Tacos, Breakfast & Brunch"
11,UKIBQrRbY_jo52yHWcZE8g,Noah Halal,Portland,OR,97204,45.5210363,-122.6766335,4.0,72,0,"Mediterranean, Food, Restaurants, Food Trucks"
12,INRbuzhBV5b07-Hd2wp8CA,Peet's Coffee,Portland,OR,97205,45.5205512296,-122.6787543126,3.5,73,0,"Coffee & Tea, Restaurants, Food"
13,7IPhANX229XHo6I5w_BzxA,Lotus Kitchen,Portland,OR,97216,45.522063,-122.579848,4.5,21,1,"Delis, Restaurants, Caterers, Event Planning & Services, Vietnamese"
14,GyglPdfJM89if_5XSBIN7Q,Never Coffee,Portland,OR,97205,45.5214333486,-122.683917135,4.0,49,1,"Restaurants, Cafes, Food, Coffee & Tea"
15,4f1MpunVzcEZ2v4HNQa2uw,Lai Thai Food Cart,Portland,OR,97201,45.5130803159,-122.6762986556,4.0,20,0,"Food Stands, Thai, Soup, Restaurants"
16,lyhNDfX8UatlRO5H3Kfccg,Caspian Kabob,Portland,OR,97217,45.554568,-122.675674,5.0,187,1,"Restaurants, Food Trucks, Food Stands, Food, Middle Eastern, Persian/Iranian, Mediterranean"
17,DgJSDdnPOvLCCyuryIh-3Q,Matt & Memere's,Portland,OR,97202,45.496485,-122.626764,4.5,34,1,"Restaurants, Cajun/Creole, Food, Southern, Food Trucks, Donuts, Seafood"
18,GXoyghOLMeUOTwbhexXlOg,Kings Deli,Portland,OR,97211,45.5773886,-122.6430574,3.0,15,1,"Delis, Restaurants"
19,1bGOJiroc8fvVJRxKMAjBg,Safeway,Portland,OR,97230,45.524464,-122.538443,2.0,33,0,"Food, Grocery, Bakeries, Shopping, Drugstores"
