,user_id,business_id,stars,useful,funny,cool,text,date,time,month,year,word_count,char_count,avg_word_len,stopword_count,cleaned_text,polarity,subjectivity,neg,neu,pos,compound,sentiment,Dominant_Topic,Keywords,Text_Chunks
0,T9O5pkKKlNvr-qqfefDlbA,luOZQ9YBrWwP8mYrS4rNoA,4.0,2.0,0.0,0.0,"This place has some of the BEST chinese take-out in Portland. Don't let the inside-a-bar vibe scare you away. WE LOVE HAPPY FORTUNE. Just thinking about it makes me want to go there right now. Plus.. they have great prices. 

Here's some of our favorites over the years: General Tso's (nice and spicy), the crab puffs, lo-mein. 

The service is great -- cheap drinks, while you're waiting, from plucky, yet-very-nice bartenders. Interesting people watching, but make sure to order from the bar-side of the place for that.",2008-12-03 04:39:26,04:39:26,12.0,2008.0,87.0,521.0,4.954022988505747,32.0,place best chinese takeout portland dont let insideabar vibe scare away love happy fortune thinking make want go right plus great price here favorite year general tsos nice spicy crab puff lomein service great cheap drink youre waiting plucky yetverynice bartender interesting people watching make sure order barside place,0.5181318681318681,0.6557387057387056,0.021,0.748,0.231,0.9545,positive,1.0,"bar, beer, drink, pretty, tea, burger, pizza, place, big, little","['place', 'chinese', 'let', 'inside', 'bar', 'vibe', 'scare', 'away', 'love', 'happy', 'fortune', 'thinking', 'great', 'price', 'favorite', 'year', 'puff', 'cheap', 'drink', 'wait', 'yet', 'bartender', 'interesting', 'people', 'watch', 'sure', 'order', 'bar', 'side', 'place']"
1,LV1ME-ibA2h0IGyFUUWhaQ,H_RM2u1WWGU1HkKZrYq2Ow,5.0,0.0,0.0,0.0,Incredible donuts. Sometimes you have to go early to have the full selection but the donuts never disappoint.,2017-08-07 19:34:13,19:34:13,8.0,2017.0,18.0,109.0,5.111111111111111,8.0,incredible donut sometimes go early full selection donut never disappoint,0.45,0.5833333333333334,0.0,0.855,0.145,0.438,positive,2.0,"food, place, great, love, really, service, definitely, friendly, price, back","['incredible', 'donut', 'sometimes', 'early', 'full', 'selection', 'donut', 'never', 'disappoint']"
2,JuM-lH05m6Ln8OPUTg8p0g,H_RM2u1WWGU1HkKZrYq2Ow,5.0,0.0,0.0,0.0,"Dont bother going to voodoo, just come here instead. They have such unique flavors and everything is so fresh. Oh, and try their cold brew too!",2016-09-18 17:06:01,17:06:01,9.0,2016.0,26.0,143.0,4.538461538461538,10.0,dont bother going voodoo come instead unique flavor everything fresh oh try cold brew,0.025000000000000022,0.8333333333333334,0.0,0.819,0.181,0.6507,positive,2.0,"food, place, great, love, really, service, definitely, friendly, price, back","['bother', 'voodoo', 'instead', 'unique', 'flavor', 'fresh', 'cold', 'brew']"
3,u2xPfv6_wcKt-lW-C1cV8A,9P-lp3AWDXGayDqJz9VPwQ,2.0,0.0,0.0,0.0,The ramen here is less than great. It came out luke warm and oily. The service we received was NOT good. I will not be returning.,2018-02-11 03:30:12,03:30:12,2.0,2018.0,26.0,129.0,4.0,10.0,ramen le great came luke warm oily service received good returning,0.6999999999999998,0.65,0.077,0.739,0.184,0.5132,negative,2.0,"food, place, great, love, really, service, definitely, friendly, price, back","['raman', 'less', 'great', 'warm', 'oily', 'service', 'receive', 'return']"
4,4cDqW9sWnZ57tsIEiElJWw,0nMbLN0B5I-2tNnQLSo86w,5.0,4.0,4.0,4.0,"""Even the mad Captain Ahab is touched by Starbuck's goodness...""
  Herman Melville 

The drive-thru was jammed with vehicles when I pulled up, so I opted to park and go to the walk-up window. 

The staff were super friendly! More then a few of them said hello to me while I ordered. Even though they were busy, they were all genuinely smiling. They look like they enjoy their job. Great teamwork! 
I think this is the friendliest Starbucks I've ever visited. 

The building is architecturally pleasing to me so it catches my eye every time I've driven past it. I'm glad I stopped this time.

It's close to my freeway entrance so I'll be making this a regular stop from now on. If you're in the area, you should too!",2017-12-02 19:41:59,19:41:59,12.0,2017.0,129.0,715.0,4.4728682170542635,50.0,even mad captain ahab touched starbucks goodness herman melville drivethru jammed vehicle pulled opted park go walkup window staff super friendly said hello ordered even though busy genuinely smiling look like enjoy job great teamwork think friendliest starbucks ive ever visited building architecturally pleasing catch eye every time ive driven past im glad stopped time close freeway entrance ill making regular stop youre area,0.11944444444444446,0.5952991452991453,0.046,0.731,0.222,0.9812,positive,2.0,"food, place, great, love, really, service, definitely, friendly, price, back","['touch', 'jammed', 'vehicle', 'pull', 'window', 'staff', 'super', 'friendly', 'order', 'busy', 'genuinely', 'smile', 'look', 'enjoy', 'job', 'great', 'friendly', 'starbuck', 'ever', 'visit', 'build', 'architecturally', 'pleasing', 'catch', 'eye', 'time', 'drive', 'stop', 'time', 'close', 'freeway', 'entrance', 'ill', 'regular', 'stop', 'area']"
5,7mWnNVk2n99JxkvV3PW0nA,Un6u2cECyV4nZb_HGZ-uTA,4.0,1.0,0.0,1.0,"It's crazy how establishments on the west coast have so many more yelp reviews than places on the east coast.  I find this extremely fascinating and I wish more people would be as passionate as the west coast has proven to me.

It was recommended that we go here for brunch...needless to say whomever told me this, is a genius.

Fresh brunch food, delicious infused vodka's, awesome buttermilk biscuits.

I ordered the ""roll over""  two potato cakes that had a egg scramble with delicious sausage that wasn't gross and covered in grease and then all of this was topped with your choice of a bacon gravy or a mushroom and rosemary gravy.  Personally, I chose the mushroom rosemary gravy and I think that it was hands down the best gravy I had ever tried.

I might has well licked the entire plate because it looked like it when I was finished.  The flavors were just right and I was shocked at the lack of greasiness that usual breakfast foods come with and their perfectly prepared dishes were done to my liking!

Lastly, make sure you order the biscuit too because it's heaven baked in the oven for your enjoyment.

Take care & savor it up!",2011-02-13 16:38:09,16:38:09,2.0,2011.0,203.0,1140.0,4.517073170731707,88.0,crazy establishment west coast many yelp review place east coast find extremely fascinating wish people would passionate west coast proven recommended go brunchneedless say whomever told genius fresh brunch food delicious infused vodka awesome buttermilk biscuit ordered roll two potato cake egg scramble delicious sausage wasnt gross covered grease topped choice bacon gravy mushroom rosemary gravy personally chose mushroom rosemary gravy think hand best gravy ever tried might well licked entire plate looked like finished flavor right shocked lack greasiness usual breakfast food come perfectly prepared dish done liking lastly make sure order biscuit heaven baked oven enjoyment take care savor,0.31587301587301586,0.6314594356261023,0.028,0.736,0.236,0.9941,positive,4.0,"order, fry, chicken, dish, sauce, taste, sandwich, flavor, meat, egg","['crazy', 'find', 'extremely', 'fascinating', 'wish', 'people', 'passionate', 'recommend', 'tell', 'genius', 'fresh', 'infuse', 'biscuit', 'order', 'roll', 'potato', 'cake', 'egg', 'scramble', 'delicious', 'sausage', 'gross', 'cover', 'grease', 'top', 'gravy', 'personally', 'choose', 'mushroom', 'rosemary', 'gravy', 'hand', 'gravy', 'ever', 'well', 'lick', 'entire', 'plate', 'look', 'finished', 'flavor', 'shock', 'greasiness', 'usual', 'breakfast', 'food', 'perfectly', 'prepare', 'dish', 'like', 'lastly', 'sure', 'order', 'biscuit', 'bake', 'oven', 'care']"
6,onoPTc_dcSlQOOk6PUxpaw,g4CP3kgH1jTtMn-joxPT0A,4.0,0.0,0.0,0.0,"5 stars for the location, it's absolutely wonderful. I ordered the shamrock bubble tea, which was one of the best I've ever had. I am subtracting a star for service however.  It was the barista that was so put out by waiting on us and then the 10-15 minutes it took to make the bubble tea... That's a bit long for a drink.",2018-04-27 18:41:52,18:41:52,4.0,2018.0,64.0,322.0,4.111111111111111,28.0,5 star location absolutely wonderful ordered shamrock bubble tea one best ive ever subtracting star service however barista put waiting u 1015 minute took make bubble tea thats bit long drink,0.65,0.5666666666666668,0.0,0.882,0.118,0.8479,positive,0.0,"order, time, wait, food, table, give, ask, back, service, never","['star', 'location', 'absolutely', 'wonderful', 'order', 'shamrock', 'bubble', 'tea', 'ever', 'subtract', 'however', 'barista', 'put', 'wait', 'minute', 'bubble', 'tea', 'bit', 'long', 'drink']"
7,uQSBQI8hKuNRxyxhPUsgLw,0WqROvvlHjvpeHIP0fg9EQ,5.0,0.0,0.0,0.0,"That was very gratifying!  Sometimes, I just crave a really good burger and fries with a coke.  PDX Sliders delivered without the guilt. Their sliders are about three inches across, small, but packs a lot of flavor and satisfying.  My sister order the Morrison which was an herb-marinated chicken with bacon, pesto, baby arugula, and aioli on Ciabatta.  I ordered two, the Sellwood and Hawthorne--one to split with her.  The Sellwood consisted of a beef, patty, bacon, aged sheddar, caramelized onions, butter lettuce, aioli and the Hawthorne had a beef patty, bacon, goat cheese, strawberry preserves on Brioche.  Of course, she wanted to share the Hawthorne.  I took a bite of the Hawthorne first and didn't want to give the rest to her.  It was so succulent!  The sweetness of the preserves with the tang of the goat cheese complimented the medium-rare beef patty well.  My sister didn't care for the Morrison, she felt that it was something that she could've made at home and the Sellwood was delicious but very typical burger flavors.  Love that their truffle fries are super crispy!  I think there will be more Hawthorne burgers in my future. While sitting at the benches eating, I was surprise that they get a lot weird people constantly walking by for that area.",2015-09-23 23:21:45,23:21:45,9.0,2015.0,227.0,1270.0,4.855813953488372,85.0,gratifying sometimes crave really good burger fry coke pdx slider delivered without guilt slider three inch across small pack lot flavor satisfying sister order morrison herbmarinated chicken bacon pesto baby arugula aioli ciabatta ordered two sellwood hawthorneone split sellwood consisted beef patty bacon aged sheddar caramelized onion butter lettuce aioli hawthorne beef patty bacon goat cheese strawberry preserve brioche course wanted share hawthorne took bite hawthorne first didnt want give rest succulent sweetness preserve tang goat cheese complimented mediumrare beef patty well sister didnt care morrison felt something couldve made home sellwood delicious typical burger flavor love truffle fry super crispy think hawthorne burger future sitting bench eating surprise get lot weird people constantly walking area,0.1282051282051282,0.6083333333333333,0.027,0.799,0.173,0.9903,positive,4.0,"order, fry, chicken, dish, sauce, taste, sandwich, flavor, meat, egg","['gratify', 'sometimes', 'crave', 'really', 'slider', 'deliver', 'guilt', 'slider', 'inch', 'small', 'pack', 'flavor', 'satisfying', 'sister', 'order', 'sellwood', 'hawthorne', 'split', 'aged', 'caramelize', 'onion', 'butter', 'lettuce', 'aioli', 'hawthorne', 'course', 'share', 'hawthorne', 'bite', 'hawthorne', 'first', 'give', 'rest', 'succulent', 'sweetness', 'compliment', 'beef', 'sister', 'care', 'feel', 'home', 'sellwood', 'delicious', 'typical', 'burger', 'flavor', 'love', 'truffle', 'fry', 'hawthorne', 'burger', 'future', 'sitting', 'bench', 'eat', 'surprise', 'weird', 'people', 'constantly', 'walk', 'area']"
8,nsCWWnrto_VYgWxELh_R1A,eUbq0uNxRlXQ6sy7phM7yA,4.0,1.0,1.0,0.0,"Came here for a friends birthday and was impressed! The service was wonderful! Everyone is so friendly and helpful, the chef even came over and said hi. I ordered the duck, it was delicious, very flavorful! The only complaint I had was that it was just duck, no side. Although it was good it was a little weird to eat just duck for dinner.",2015-08-19 04:29:07,04:29:07,8.0,2015.0,64.0,339.0,4.3125,32.0,came friend birthday impressed service wonderful everyone friendly helpful chef even came said hi ordered duck delicious flavorful complaint duck side although good little weird eat duck dinner,0.38593750000000004,0.7250000000000001,0.069,0.64,0.291,0.9672,positive,2.0,"food, place, great, love, really, service, definitely, friendly, price, back","['friend', 'birthday', 'impress', 'service', 'wonderful', 'friendly', 'helpful', 'chef', 'order', 'delicious', 'flavorful', 'complaint', 'duck', 'side', 'little', 'weird', 'eat', 'duck', 'dinner']"
9,EdR5dIPOK9fR_IFGcTCxZA,X9sz3xeaLujW9PhsSLCQyg,5.0,0.0,0.0,0.0,"Realize this is a small cafe local
hang out.  But wow the food was a big surprise. Lots of flavor and tons of quality and great value to boot. Everything is made from scratch. Simple awesome and a place I will run back to.",2017-12-02 20:03:04,20:03:04,12.0,2017.0,44.0,222.0,4.045454545454546,16.0,realize small cafe local hang wow food big surprise lot flavor ton quality great value boot everything made scratch simple awesome place run back,0.20625,0.45089285714285715,0.0,0.637,0.363,0.9757,positive,2.0,"food, place, great, love, really, service, definitely, friendly, price, back","['realize', 'small', 'cafe', 'local', 'hang', 'food', 'big', 'surprise', 'flavor', 'ton', 'quality', 'great', 'value', 'boot', 'scratch', 'simple', 'awesome', 'place', 'back']"
