,business_id,name,categories,stars,review_count,latitude,longitude,postal_code,init_cluster,cluster
1222,OPfgKOm_n-ajUo3qjSEgRg,Powell's City of Books,"Food, Airports, Bookstores, Flowers & Gifts, Coffee & Tea, Restaurants, Gift Shops, Shopping, Newspapers & Magazines, Local Flavor, Books, Mags, Music & Video, Hotels & Travel, Used Bookstore",5.0,4295,45.5230969,-122.681325,97209.0,0,1
3298,YaUGYnfBjq1V-sI0BSokSQ,Ovation Coffee & Tea,"Cafes, Gluten-Free, Breakfast & Brunch, Restaurants, Food, Coffee & Tea",5.0,740,45.532588,-122.6810282,97209.0,0,1
3195,-CPd_oNhKSF9R4cjNg0yzQ,Pedal Bike Tours,"Hotels & Travel, Tours, Bike Rentals, Historical Tours, Food Tours, Active Life",5.0,736,45.521572,-122.6729487,97204.0,0,1
2255,0OLouFEhEm3pIh4SxdPF-w,Swiss Hibiscus,"Fondue, German, Modern European, Restaurants",5.0,510,45.5587705,-122.651453,97211.0,0,6
3698,49KEePxtz8UdVzYQjAS-jw,Tōv,"Restaurants, Coffee & Tea, Food, Egyptian, Middle Eastern",5.0,503,45.512267,-122.6323559,97214.0,1,2
5311,OhMod_jcp8kz2afxajIErA,Gumba,"Noodles, American (New), Food Trucks, Southern, Restaurants, Breakfast & Brunch, Sandwiches, American (Traditional), Food, Italian, Pasta Shops, Pizza, Specialty Food, Salad",5.0,298,45.5593735457,-122.6472008968,97211.0,0,6
1146,0vkmpauxSX3hY38U5sYJYw,Kasbah Moroccan Cafe,"Cafes, Restaurants, African, Mediterranean, Food, Tea Rooms, Delis, Vegetarian, Moroccan",5.0,273,45.5246655,-122.6726466,97209.0,0,1
3763,wqeSl2GxtM-uBrE4CnJqTA,Brewvana Portland Through Craft,"Wine Tours, Arts & Entertainment, Local Flavor, Walking Tours, Food, Breweries, Tours, Hotels & Travel, Beer Tours, Beer, Wine & Spirits, Food Tours, Bus Tours",5.0,226,45.5389577,-122.7135429,97210.0,0,1
2892,GsNJWGFjP7pzjGuUETexZg,Carte Blanche,"Food Trucks, Food, Food Stands, Caribbean, Street Vendors, Asian Fusion, Sandwiches, Restaurants, American (New)",5.0,224,45.512291,-122.63239,97214.0,1,2
616,BJAPav2lfNW679fI0s6KCg,Willow,"Vegetarian, American (New), Vegan, Restaurants, Gluten-Free",5.0,200,45.5085247,-122.6549276,97214.0,0,2
16,lyhNDfX8UatlRO5H3Kfccg,Caspian Kabob,"Restaurants, Food Trucks, Food Stands, Food, Middle Eastern, Persian/Iranian, Mediterranean",5.0,187,45.554568,-122.675674,97217.0,0,6
1109,tjPKb_1h59v_NUTtCsof3Q,Forktown Food Tours,"Tours, Hotels & Travel, Food, Food Tours, Arts & Entertainment",5.0,182,45.5607043,-122.6356253,97211.0,0,6
872,NFb4zqgY-P2A_ISUnJQsnw,La Parrilla Kitchen,"Mexican, Restaurants",5.0,178,45.546156515,-122.5785767287,97220.0,2,8
